simulation_id,step,self_consistency,agency,self_recognition,memory_count,fear,joy,pride,stress,mirroring,successful_imitations,steps_to_recognition
2,400,0.8799,0.9891,0.7150,401.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,450,0.9237,0.9896,0.7012,451.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,500,0.9138,0.9819,0.7101,501.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,550,0.9240,0.9934,0.6999,551.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,600,0.8929,0.9916,0.7224,601.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,650,0.9196,0.9959,0.7128,651.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,700,0.9120,1.0000,0.7412,701.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,750,0.8788,0.9879,0.6953,751.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,800,0.8771,0.9791,0.6935,801.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,850,0.8888,0.9799,0.6951,851.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,900,0.9018,0.9879,0.6835,901.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,950,0.9047,0.9936,0.6805,951.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
3,0,0.7063,0.4051,0.2938,1.0000,0.0919,0.2386,0.1461,0.1390,0.2000,0.0000,7
3,50,0.9165,0.9910,0.7234,51.0000,0.0230,0.2386,0.8279,0.1390,0.2000,0.0000,7
3,100,0.9015,0.9846,0.7199,101.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,150,0.9019,0.9861,0.7157,151.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,200,0.8904,0.9866,0.7109,201.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,250,0.8962,0.9997,0.7288,251.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,300,0.9005,0.9929,0.6959,301.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,350,0.9095,0.9918,0.7252,351.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,400,0.9332,0.9917,0.6971,401.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,450,0.9216,0.9983,0.7263,451.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,500,0.8949,0.9782,0.6770,501.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,550,0.8855,0.9900,0.7040,551.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,600,0.8858,0.9927,0.7027,601.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,650,0.9048,0.9865,0.6993,651.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,700,0.8978,0.9942,0.7097,701.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,750,0.8873,0.9838,0.6937,751.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,800,0.8979,0.9879,0.7084,801.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,850,0.8883,0.9826,0.6951,851.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,900,0.8891,0.9819,0.7002,901.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
3,950,0.9135,0.9842,0.7165,951.0000,0.0000,0.2386,1.0000,0.1390,0.2000,0.0000,7
4,0,0.7083,0.3919,0.3081,1.0000,0.0828,0.2076,0.1226,0.1284,0.2000,0.0000,5
4,50,0.8882,0.6769,0.6246,51.0000,0.0257,0.2076,0.5661,0.1284,0.2000,0.0000,5
4,100,0.8717,0.9920,0.7090,101.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,150,0.8934,0.9820,0.7063,151.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,200,0.9048,0.9788,0.7032,201.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,250,0.9068,0.9846,0.6869,251.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,300,0.8887,0.9867,0.7133,301.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,350,0.8681,0.9886,0.7231,351.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,400,0.9151,0.9903,0.7231,401.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,450,0.8845,0.9825,0.7285,451.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,500,0.8994,0.9846,0.7138,501.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,550,0.9260,0.9837,0.6907,551.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,600,0.8926,0.9913,0.7307,601.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,650,0.8982,0.9930,0.7112,651.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,700,0.9049,0.9900,0.7222,701.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,750,0.9173,0.9961,0.7223,751.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,800,0.8972,0.9802,0.7057,801.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,850,0.8955,0.9943,0.7050,851.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,900,0.8848,0.9840,0.6837,901.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
4,950,0.8836,0.9921,0.7054,951.0000,0.0000,0.2076,1.0000,0.1284,0.2000,0.0000,5
